action,category,variety,color,vendor,tier,box_type,length,price,stock,image_type,image_source,instances_sharing_image,merge_group_size,image_path,pdp_link,slug
🟠 REPLACE_WITH_REAL,Tropicals,Golden Fire Opal,Red,Magic Flowers,T3,HB,70 cm,1.41,0,AI_GENERATED,mapper_exact,10,1,/images/shop/combos/combo-fire-box_00b25b3572aa.png,https://floropolis.com/shop/golden-fire-opal-red-70,golden-fire-opal-red-70
🟠 NEEDS_SPECIFIC_IMAGE,Bells of Ireland,X,Green,Megaflor,T3,QB,70 cm,1.1,0,CATEGORY_FALLBACK,category_fallback,2,2,/images/shop/other/bells-of-ireland.png,https://floropolis.com/shop/x-green-70cm,x-green-70cm
🟠 NEEDS_SPECIFIC_IMAGE,Bells of Ireland,X,Green,Megaflor,T3,QB,80-90 cm,1.12,0,CATEGORY_FALLBACK,category_fallback,2,2,/images/shop/other/bells-of-ireland.png,https://floropolis.com/shop/x-green-80-90cm,x-green-80-90cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Assorted,Megaflor,T3,EB,70 cm,0.97,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-assorted-70-cm,larkspur-assorted-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Assorted,Megaflor,T3,EB,80 cm,1.03,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-assorted-80-cm,larkspur-assorted-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Pink,Megaflor,T3,EB,70 cm,1,0,CATEGORY_FALLBACK,category_fallback,16,4,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-pink-70-cm,larkspur-pink-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Pink,Megaflor,T3,QB,70 cm,1.35,0,CATEGORY_FALLBACK,category_fallback,16,4,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-pink-70cm,larkspur-pink-70cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Pink,Megaflor,T3,EB,80 cm,1.08,0,CATEGORY_FALLBACK,category_fallback,16,4,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-pink-80-cm,larkspur-pink-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Pink,Megaflor,T3,QB,80 cm,1.42,0,CATEGORY_FALLBACK,category_fallback,16,4,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-pink-80cm,larkspur-pink-80cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Purple,Megaflor,T3,EB,70 cm,1,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-purple-70-cm,larkspur-purple-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Larkspur,Purple,Megaflor,T3,EB,80 cm,1.08,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/larkspur-purple-80-cm,larkspur-purple-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific,Assorted,Megaflor,T1,QB,70 cm,1.48,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-assorted-70-cm,pacific-assorted-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific,Assorted,Megaflor,T1,QB,80 cm,1.25,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-assorted-80-cm,pacific-assorted-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Blue Bird,Blue,Megaflor,T3,QB,70 cm,1.59,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-blue-bird-blue-70-cm,pacific-blue-bird-blue-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Blue Bird,Blue,Megaflor,T3,QB,80 cm,1.66,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-blue-bird-blue-80-cm,pacific-blue-bird-blue-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Galahad,White,Megaflor,T3,QB,70 cm,1.63,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-galahad-white-70-cm,pacific-galahad-white-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Galahad,White,Megaflor,T3,QB,80 cm,1.71,0,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-galahad-white-80-cm,pacific-galahad-white-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Summer Skies,Light Blue,Megaflor,T3,QB,70 cm,1.63,3,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-summer-skies-light-blue-70-cm,pacific-summer-skies-light-blue-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Delphinium,Pacific Summer Skies,Light Blue,Megaflor,T3,QB,80 cm,1.71,2,CATEGORY_FALLBACK,category_fallback,16,2,/images/shop/delphinium/sky-waltz-light-blue.png,https://floropolis.com/shop/pacific-summer-skies-light-blue-80-cm,pacific-summer-skies-light-blue-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Congo,Green,Magic Flowers,T3,HB,80 cm,4.29,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/congo-green-80,congo-green-80
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Congo,Red,Magic Flowers,T3,HB,80 cm,4.29,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/congo-red-80,congo-red-80
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Curly variegated,Green,Magic Flowers,T3,HB,50 cm,1.56,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/curly-variegated-green-50,curly-variegated-green-50
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Davalia,Green,Magic Flowers,T3,EB,60 cm,1.89,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/davalia-green-60,davalia-green-60
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Esmeralda,Green,Magic Flowers,T3,QB,40 cm,1.32,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/esmeralda-green-40,esmeralda-green-40
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Fern Davalia,Green,Magic Flowers,T2,EB,,1.16,24,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/fern-davalia-green,fern-davalia-green
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Green,Green,Magic Flowers,T3,HB,80 cm,0.4,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/green-green-80,green-green-80
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Lemon,Green,Magic Flowers,T3,QB,60 cm,1.26,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/lemon-green-60,lemon-green-60
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Other Greens Willow,Green,Magic Flowers,T2,EB/QB,,0.14,36,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/other-greens-willow-green,other-greens-willow-green
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Tips & Accents Aglaonema,Green,Magic Flowers,T2,EB/QB,,0.84,42,CATEGORY_FALLBACK,category_fallback,22,2,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/tips-and-accents-aglaonema-green,tips-and-accents-aglaonema-green
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Tips & Accents Aglaonema,Green,Magic Flowers,T3,HB,45 cm,1.33,0,CATEGORY_FALLBACK,category_fallback,22,2,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/anglonema-tip-green-green-45,anglonema-tip-green-green-45
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Tree Fern,Assorted,Green Foliage,T3,QB,55 cm,0.12,0,CATEGORY_FALLBACK,category_fallback,22,2,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/tree-fern-assorted-55,tree-fern-assorted-55
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Tree Fern,Assorted,Green Foliage,T3,QB,60 cm,0.13,0,CATEGORY_FALLBACK,category_fallback,22,2,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/tree-fern-assorted-60,tree-fern-assorted-60
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Variegated,Green,Magic Flowers,T3,HB,80 cm,0.4,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/variegated-green-80,variegated-green-80
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,White,Green,Magic Flowers,T3,QB,60 cm,1.26,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/white-green-60,white-green-60
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Willow,Green,Magic Flowers,T3,HB,90 cm,0.33,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/willow-green-90,willow-green-90
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Xanadu,Green,Magic Flowers,T3,EB,40 cm,0.72,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/xanadu-green-40,xanadu-green-40
🟠 NEEDS_SPECIFIC_IMAGE,Greens & Foliage,Xantal,Green,Magic Flowers,T3,HB,60 cm,1.93,0,CATEGORY_FALLBACK,category_fallback,22,1,/images/shop/greens/monstera-green.jpg,https://floropolis.com/shop/xantal-green-60,xantal-green-60
🟠 NEEDS_SPECIFIC_IMAGE,Gypsophila,Million Star,White,Megaflor,T2,QB,250g,0.9,30,CATEGORY_FALLBACK,category_fallback,6,3,/images/shop/other/cosmic.png,https://floropolis.com/shop/million-star-250g-white,million-star-250g-white
🟠 NEEDS_SPECIFIC_IMAGE,Gypsophila,Million Star,White,Flodecol,T3,QB,250g,0.82,0,CATEGORY_FALLBACK,category_fallback,6,3,/images/shop/other/cosmic.png,https://floropolis.com/shop/million-star-white-250g,million-star-white-250g
🟠 NEEDS_SPECIFIC_IMAGE,Gypsophila,Million Star,White,Flodecol,T3,QB,750g,0.82,0,CATEGORY_FALLBACK,category_fallback,6,3,/images/shop/other/cosmic.png,https://floropolis.com/shop/million-star-white-750g,million-star-white-750g
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Assorted,Megaflor,T3,EB,30-35 cm,1.26,0,CATEGORY_FALLBACK,category_fallback,15,4,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-assorted-30-35-cm,elegance-assorted-30-35-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Assorted,Megaflor,T3,EB,35-40 cm,1.31,0,CATEGORY_FALLBACK,category_fallback,15,4,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-assorted-35-40-cm,elegance-assorted-35-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Assorted,Megaflor,T3,EB,40-45 cm,1.38,0,CATEGORY_FALLBACK,category_fallback,15,4,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-assorted-40-45-cm,elegance-assorted-40-45-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Assorted,Megaflor,T3,EB,45-50 cm,1.46,0,CATEGORY_FALLBACK,category_fallback,15,4,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-assorted-45-50-cm,elegance-assorted-45-50-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Brown,Megaflor,T3,EB,30-35 cm,1.31,0,CATEGORY_FALLBACK,category_fallback,15,2,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-brown-30-35-cm,elegance-brown-30-35-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Brown,Megaflor,T3,EB,35-40 cm,1.38,0,CATEGORY_FALLBACK,category_fallback,15,2,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-brown-35-40cm,elegance-brown-35-40cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Lavender,Megaflor,T3,EB,30-35 cm,1.26,0,CATEGORY_FALLBACK,category_fallback,15,3,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-lavender-30-35-cm,elegance-lavender-30-35-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Lavender,Megaflor,T3,EB,35-40 cm,1.35,0,CATEGORY_FALLBACK,category_fallback,15,3,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-lavender-35-40-cm,elegance-lavender-35-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Lavender,Megaflor,T3,EB,40-45 cm,1.41,0,CATEGORY_FALLBACK,category_fallback,15,3,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-lavender-40-45-cm,elegance-lavender-40-45-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Peach,Megaflor,T3,EB,35-40 cm,1.35,0,CATEGORY_FALLBACK,category_fallback,15,2,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-peach-35-40-cm,elegance-peach-35-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Ranunculus,Elegance,Peach,Megaflor,T3,EB,40-45 cm,1.41,0,CATEGORY_FALLBACK,category_fallback,15,2,/images/shop/ranunculus/hot-pink.png,https://floropolis.com/shop/elegance-peach-40-45-cm,elegance-peach-40-45-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Assorted,Cream,Ecoroses,T2,QB,,1.47,0,CATEGORY_FALLBACK,category_fallback,32,1,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/assorted-cream,assorted-cream
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Assorted,Rainbow,Ecoroses,T2,QB,,1.47,5,CATEGORY_FALLBACK,category_fallback,32,1,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/assorted-rainbow,assorted-rainbow
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Assorted,White,Ecoroses,T2,QB,,1.47,5,CATEGORY_FALLBACK,category_fallback,32,1,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/assorted-white,assorted-white
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Cold Play,White,Ecoroses,T3,QB,40 cm,1.41,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/cold-play-white-40-cm,cold-play-white-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Cold Play,White,Ecoroses,T3,QB,50 cm,1.56,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/cold-play-white-50-cm,cold-play-white-50-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Cold Play,White,Ecoroses,T3,QB,60 cm,1.71,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/cold-play-white-60-cm,cold-play-white-60-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Cold Play,White,Ecoroses,T3,QB,70 cm,1.86,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/cold-play-white-70-cm,cold-play-white-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Cold Play,White,Ecoroses,T3,QB,80 cm,2.01,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/cold-play-white-80-cm,cold-play-white-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Lavender Blueberry,Lavender,Ecoroses,T2,QB,,1.59,0,CATEGORY_FALLBACK,category_fallback,32,1,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/lavender-blueberry-lavender,lavender-blueberry-lavender
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Mamma Mia,Red,Ecoroses,T3,QB,40 cm,1.41,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/mamma-mia-red-40-cm,mamma-mia-red-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Mamma Mia,Red,Ecoroses,T3,QB,50 cm,1.56,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/mamma-mia-red-50-cm,mamma-mia-red-50-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Mamma Mia,Red,Ecoroses,T3,QB,60 cm,1.71,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/mamma-mia-red-60-cm,mamma-mia-red-60-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Mamma Mia,Red,Ecoroses,T3,QB,70 cm,1.86,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/mamma-mia-red-70-cm,mamma-mia-red-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Mamma Mia,Red,Ecoroses,T3,QB,80 cm,2.01,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/mamma-mia-red-80-cm,mamma-mia-red-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Menta,Cream,Ecoroses,T3,QB,40 cm,1.41,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/menta-cream-40-cm,menta-cream-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Menta,Cream,Ecoroses,T3,QB,50 cm,1.56,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/menta-cream-50-cm,menta-cream-50-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Menta,Cream,Ecoroses,T3,QB,60 cm,1.71,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/menta-cream-60-cm,menta-cream-60-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Menta,Cream,Ecoroses,T3,QB,70 cm,1.86,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/menta-cream-70-cm,menta-cream-70-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Menta,Cream,Ecoroses,T3,QB,80 cm,2.01,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/menta-cream-80-cm,menta-cream-80-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Pomarosa,Light Pink,Ecoroses,T3,QB,40 cm,1.35,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/pomarosa-light-pink-40-cm,pomarosa-light-pink-40-cm
🟠 NEEDS_SPECIFIC_IMAGE,Rose,Pomarosa,Light Pink,Ecoroses,T3,QB,50 cm,1.51,0,CATEGORY_FALLBACK,category_fallback,32,5,/images/shop/roses/freedom-red.png,https://floropolis.com/shop/pomarosa-light-pink-50-cm,pomarosa-light-pink-50-cm
